,Hash,Functions,Family
1,871CC547FEB9DBEC0285321068E392B8, GetComputerNameA WriteFile ReadFile PeekNamedPipe GetExitCodeProcess CreateProcessA OpenProcess GetFileAttributesA GetSystemDirectoryA Sleep GetVolumeInformationA GetDriveTypeA lstrcatA GetLogicalDrives Process32Next Process32First CreateToolhelp32Snapshot GetFileSize CreateFileA GetCurrentProcess GetModuleHandleA CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess ExpandEnvironmentStringsA GetLastError GetStartupInfoA atol sscanf strrchr _exit _XcptFilter exit _acmdln __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _except_handler3 _controlfp ??3@YAXPAX@Z strlen strcpy strstr ??2@YAPAXI@Z sprintf atoi _strcmpi memset strcat __CxxFrameHandler HttpSendRequestA InternetQueryOptionA InternetCloseHandle InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetOpenA InternetReadFile InternetSetOptionA CreateProcessAsUserA CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA StartServiceA OpenProcessToken URLDownloadToFileA GetUserNameExA,Fam1
2,57E79F7DF13C0CB01910D0C688FCD296, GetComputerNameA WriteFile ReadFile PeekNamedPipe GetExitCodeProcess CreateProcessA OpenProcess GetFileAttributesA GetSystemDirectoryA Sleep GetVolumeInformationA GetDriveTypeA lstrcatA GetLogicalDrives Process32Next Process32First CreateToolhelp32Snapshot GetFileSize CreateFileA GetCurrentProcess GetModuleHandleA CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess ExpandEnvironmentStringsA GetLastError GetStartupInfoA atol sscanf strrchr _exit _XcptFilter exit _acmdln __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _except_handler3 _controlfp ??3@YAXPAX@Z strlen strcpy strstr ??2@YAPAXI@Z sprintf atoi _strcmpi memset strcat __CxxFrameHandler HttpSendRequestA InternetQueryOptionA InternetCloseHandle InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetOpenA InternetReadFile InternetSetOptionA CreateProcessAsUserA CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA StartServiceA OpenProcessToken URLDownloadToFileA GetUserNameExA,Fam1
3,FAB6B0B33D59F393E142000F128A9652, lstrcatA GetLogicalDrives Process32Next Process32First CreateToolhelp32Snapshot WriteFile GetFileSize GetCurrentProcess DeleteFileA GetModuleFileNameA GetLocalTime GetDriveTypeA CreateMutexA SetFileTime SystemTimeToFileTime GetSystemTime CopyFileA lstrlenA GetTempFileNameA GetTempPathA ExitProcess GetModuleHandleA GetVolumeInformationA SetStdHandle ExpandEnvironmentStringsA GetSystemDirectoryA GetFileAttributesA OpenProcess GetExitCodeProcess PeekNamedPipe ReadFile GetConsoleDisplayMode CreateProcessA AttachConsole CreateFileA WriteConsoleInputA GetComputerNameA Sleep CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread TerminateProcess GetStartupInfoA WaitForSingleObject CloseHandle GetVersionExA GetLastError DefWindowProcA RegisterClassExA CreateWindowExA GetMessageA TranslateMessage DispatchMessageA memcpy strstr _strnicmp strchr _exit _XcptFilter exit _acmdln __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _controlfp ??3@YAXPAX@Z strlen strcpy ??2@YAPAXI@Z sprintf memset _except_handler3 atoi _strcmpi __CxxFrameHandler _EH_prolog atol sscanf strrchr strcat InternetSetOptionA InternetOpenA InternetQueryOptionA InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA HttpSendRequestA InternetReadFile InternetCloseHandle InternetOpenUrlA GetUserProfileDirectoryA OpenProcessToken CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA StartServiceA GetUserNameA RegCloseKey RegSetValueExA RegCreateKeyExA RegDeleteValueA CreateProcessAsUserA URLDownloadToFileA SHCreateDirectoryExA ShellExecuteA GetUserNameExA,Fam3
4,BA0C4D3DBF07D407211B5828405A9B91, GetConsoleDisplayMode ReadFile PeekNamedPipe GetExitCodeProcess CreateProcessA GetFileAttributesA GetSystemDirectoryA ExpandEnvironmentStringsA SetStdHandle GetVolumeInformationA GetDriveTypeA lstrcatA GetLogicalDrives Process32Next AllocConsole CreateToolhelp32Snapshot OpenProcess WriteFile GetFileSize GetLocalTime GetVersionExA GetModuleFileNameA GetCurrentProcess CreateMutexA CopyFileA CreateDirectoryA ExitProcess lstrlenA GetModuleHandleA CreateFileA WriteConsoleInputA GetComputerNameA Sleep CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess Process32First GetStartupInfoA GetLastError strstr _strnicmp strchr _exit _XcptFilter exit _acmdln __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _except_handler3 _controlfp ??3@YAXPAX@Z strlen strcpy ??2@YAPAXI@Z sprintf atoi _strcmpi atol strcat __CxxFrameHandler _EH_prolog memset sscanf memcpy strrchr InternetQueryOptionA InternetOpenA HttpSendRequestA InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetCloseHandle InternetOpenUrlA InternetSetOptionA InternetReadFile GetUserProfileDirectoryA CloseServiceHandle OpenSCManagerA ControlService OpenServiceA StartServiceA CreateProcessAsUserA OpenProcessToken GetUserNameA RegCloseKey RegDeleteValueA RegCreateKeyExA EnumServicesStatusExA URLDownloadToFileA ShellExecuteA GetUserNameExA,Fam5
5,5AEAA53340A281074FCB539967438E3F, GetComputerNameA WriteConsoleInputA CreateFileA AttachConsole CreateProcessA GetConsoleDisplayMode ReadFile PeekNamedPipe GetExitCodeProcess OpenProcess GetFileAttributesA GetSystemDirectoryA ExpandEnvironmentStringsA Sleep GetVolumeInformationA GetDriveTypeA lstrcatA GetLogicalDrives Process32Next Process32First CreateToolhelp32Snapshot WriteFile GetFileSize GetCurrentProcess GetVersion GetModuleHandleA CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess SetStdHandle GetLastError GetStartupInfoA atol sscanf strrchr _exit _XcptFilter exit _acmdln __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _except_handler3 _controlfp ??3@YAXPAX@Z strlen strcpy memset ??2@YAPAXI@Z sprintf atoi _strcmpi strcat __CxxFrameHandler _EH_prolog HttpSendRequestA InternetQueryOptionA InternetCloseHandle InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetOpenA InternetReadFile InternetSetOptionA CreateProcessAsUserA CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA StartServiceA OpenProcessToken URLDownloadToFileA GetUserNameExA,Fam6
6,6D2320AF561B2315C1241E3EFD86067F, GetExitCodeProcess CreateProcessA GetFileAttributesA GetSystemDirectoryA ExpandEnvironmentStringsA SetStdHandle GetVolumeInformationA GetDriveTypeA lstrcatA PeekNamedPipe Process32Next Process32First CreateToolhelp32Snapshot OpenProcess WriteFile GetFileSize GetModuleFileNameA TerminateThread ReadFile GetConsoleDisplayMode AllocConsole CreateFileA WriteConsoleInputA GetComputerNameA Sleep CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess GetLogicalDrives GetLastError _adjust_fdiv malloc _initterm free wcstombs atol strrchr sscanf __CxxFrameHandler _strcmpi atoi sprintf ??2@YAPAXI@Z ??3@YAXPAX@Z InternetReadFile HttpSendRequestA InternetQueryOptionA InternetCloseHandle InternetSetOptionA InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetOpenA StartServiceA SetServiceStatus RegisterServiceCtrlHandlerA RegDeleteValueA RegOpenKeyExA RegQueryValueExA RegSetValueExA RegCloseKey OpenProcessToken CreateProcessAsUserA CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA URLDownloadToFileA GetUserNameExA,Fam4
7,E83F60FB0E0396EA309FAF0AED64E53F, GetConsoleDisplayMode ReadFile PeekNamedPipe GetExitCodeProcess CreateProcessA GetFileAttributesA GetSystemDirectoryA ExpandEnvironmentStringsA SetStdHandle GetVolumeInformationA GetDriveTypeA lstrcatA GetLogicalDrives Process32Next AllocConsole CreateToolhelp32Snapshot OpenProcess WriteFile GetFileSize GetLocalTime GetVersionExA GetModuleFileNameA GetCurrentProcess CreateMutexA CopyFileA CreateDirectoryA ExitProcess lstrlenA GetModuleHandleA CreateFileA WriteConsoleInputA GetComputerNameA Sleep CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess Process32First GetStartupInfoA GetLastError strstr _strnicmp strchr _exit _XcptFilter exit _acmdln __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _except_handler3 _controlfp ??3@YAXPAX@Z strlen strcpy ??2@YAPAXI@Z sprintf atoi _strcmpi atol strcat __CxxFrameHandler _EH_prolog memset sscanf memcpy strrchr InternetQueryOptionA InternetOpenA HttpSendRequestA InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetCloseHandle InternetOpenUrlA InternetSetOptionA InternetReadFile GetUserProfileDirectoryA CloseServiceHandle OpenSCManagerA ControlService OpenServiceA StartServiceA CreateProcessAsUserA OpenProcessToken GetUserNameA RegCloseKey RegDeleteValueA RegCreateKeyExA EnumServicesStatusExA URLDownloadToFileA ShellExecuteA GetUserNameExA,Fam5
8,B3BC979D8DE3BE09728C5DE1A0297C4B, GetExitCodeProcess CreateProcessA GetFileAttributesA GetSystemDirectoryA ExpandEnvironmentStringsA SetStdHandle GetVolumeInformationA GetDriveTypeA lstrcatA PeekNamedPipe Process32Next Process32First CreateToolhelp32Snapshot OpenProcess WriteFile GetFileSize GetModuleFileNameA TerminateThread ReadFile GetConsoleDisplayMode AllocConsole CreateFileA WriteConsoleInputA GetComputerNameA Sleep CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess GetLogicalDrives GetLastError _adjust_fdiv malloc _initterm free wcstombs atol strrchr sscanf __CxxFrameHandler _strcmpi atoi sprintf ??2@YAPAXI@Z ??3@YAXPAX@Z InternetReadFile HttpSendRequestA InternetQueryOptionA InternetCloseHandle InternetSetOptionA InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetOpenA StartServiceA SetServiceStatus RegisterServiceCtrlHandlerA RegDeleteValueA RegOpenKeyExA RegQueryValueExA RegSetValueExA RegCloseKey OpenProcessToken CreateProcessAsUserA CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA URLDownloadToFileA GetUserNameExA,Fam4
9,E54CE5F0112C9FDFE86DB17E85A5E2C5, GetConsoleDisplayMode ReadFile PeekNamedPipe GetExitCodeProcess CreateProcessA GetFileAttributesA GetSystemDirectoryA ExpandEnvironmentStringsA SetStdHandle GetVolumeInformationA GetDriveTypeA lstrcatA GetLogicalDrives Process32Next AllocConsole CreateToolhelp32Snapshot OpenProcess WriteFile GetFileSize GetLocalTime GetVersionExA GetModuleFileNameA GetCurrentProcess CreateMutexA CopyFileA CreateDirectoryA ExitProcess lstrlenA GetModuleHandleA CreateFileA WriteConsoleInputA GetComputerNameA Sleep CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess Process32First GetStartupInfoA GetLastError strstr _strnicmp strchr _exit _XcptFilter exit _acmdln __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _except_handler3 _controlfp ??3@YAXPAX@Z strlen strcpy ??2@YAPAXI@Z sprintf atoi _strcmpi atol strcat __CxxFrameHandler _EH_prolog memset sscanf memcpy strrchr InternetQueryOptionA InternetOpenA HttpSendRequestA InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetCloseHandle InternetOpenUrlA InternetSetOptionA InternetReadFile GetUserProfileDirectoryA CloseServiceHandle OpenSCManagerA ControlService OpenServiceA StartServiceA CreateProcessAsUserA OpenProcessToken GetUserNameA RegCloseKey RegDeleteValueA RegCreateKeyExA EnumServicesStatusExA URLDownloadToFileA ShellExecuteA GetUserNameExA,Fam5
10,B8F61242E28F2EDF6CB1BE8781438491, AllocConsole GetConsoleDisplayMode ReadFile PeekNamedPipe GetExitCodeProcess CreateProcessA GetFileAttributesA GetSystemDirectoryA ExpandEnvironmentStringsA SetStdHandle GetVolumeInformationA CreateFileA lstrcatA GetLogicalDrives Process32Next Process32First CreateToolhelp32Snapshot OpenProcess WriteFile GetFileSize GetModuleHandleA WriteConsoleInputA CreatePipe GetWindowsDirectoryA SetCurrentDirectoryA CreateThread WaitForSingleObject CloseHandle TerminateProcess GetComputerNameA GetStartupInfoA Sleep GetDriveTypeA GetLastError __getmainargs _initterm __setusermatherr _adjust_fdiv __p__commode __p__fmode __set_app_type _except_handler3 _controlfp ??3@YAXPAX@Z ??2@YAPAXI@Z sprintf strncpy atoi _strcmpi __CxxFrameHandler sscanf _exit strrchr _acmdln exit _XcptFilter atol InternetQueryOptionA InternetOpenA InternetReadFile InternetConnectA HttpOpenRequestA HttpAddRequestHeadersA InternetSetOptionA HttpSendRequestA InternetCloseHandle StartServiceCtrlDispatcherA SetServiceStatus CloseServiceHandle EnumServicesStatusExA OpenSCManagerA ControlService OpenServiceA StartServiceA CreateProcessAsUserA OpenProcessToken RegisterServiceCtrlHandlerA URLDownloadToFileA GetUserNameExA,Fam2
